inst  m      l     greedy      mh          ag
86    1000   300   48478673    48477431    50220546
87    1000   300   48428389    48428199    50169927
88    1000   300   48515293    48513246    50241970
89    1000   300   48534297    48531724    50229984
90    1000   300   48488424    48487574    50168393
91    1000   300   48548209    48545809    50137750
92    1000   300   48439942    48437774    50170184
93    1000   300   48468267    48467303    50219011
94    1000   300   48505532    48504883    50107853
95    1000   300   48498274    48497708    50110897
96    1000   300   48481696    48479510    50204530
97    1000   300   48441723    48441066    50227004
98    1000   300   48390597    48389055    50232484
99    1000   300   48531370    48529141    50237850
0     1000   500   134813364   134812299   139776408    
1     1000   500   134412237   134411555   139689162 
2     1000   500   134742145   134738092   139820093  
3     1000   500   134601249   134597858   139649978  
4     1000   500   134590802   134587327   139861228  
5     1000   500   134784877   134784482   139541909 
6     1000   500   134928083   134926320   139769812
7     1000   500   134794888   134792650   139824779
8     1000   500   134519664   134519627   139880869
9     1000   500   134501354   134497646   139786978
10    1000   500   134548243   134546334   139695585
11    1000   500   134748530   134743635   139534335
12    1000   500   134403023   134400429   139771554
13    1000   500   134778213   134776014   139625538
14    1000   500   134655728   134653437   139670947
15    1000   500   134609439   134608695   139618188
16    1000   500   134582758   134579920   139713529
17    1000   500   134755491   134751007   139698291
18    1000   500   134660672   134659556   139736541
19    1000   500   134738447   134734928   139748998
20    1000   500   134643366   134641768   139847254
21    1000   500   134552619   134549637   139689003
22    1000   500   134529349   134525158   139469894
23    1000   500   134718000   134716142   139595385
24    1000   500   134730296   134728098   139773052
25    1000   500   134641357   134636256   139746334
26    1000   500   134731190   134728584   139649478
27    1000   500   134766503   134764004   139564317
28    1000   500   134640887   134636335   139721068
29    1000   500   134731409   134728424   139651828
30    1000   500   134525073   134522862   139680890
31    1000   500   134802560   134800437   139644080
32    1000   500   134616643   134614333   139624889
33    1000   500   134631485   134628029   139646023
34    1000   500   134947502   134944178   139543027
35    1000   500   134833947   134831979   139742281
36    1000   500   134593122   134592088   139657414
37    1000   500   134617854   134615190   139810358
38    1000   500   134535277   134532513   139746998
39    1000   500   134892836   134891111   139824269
40    1000   500   134740129   134737479   139682305
41    1000   500   134587991   134586576   139776543
42    1000   500   134444490   134440824   139559678
43    1000   500   134675961   134674999   139824104
44    1000   500   134539425   134537721   139677334
45    1000   500   134798678   134795516   139574123
46    1000   500   134663571   134661496   139977752
47    1000   500   134468487   134465715   139790371
48    1000   500   134668445   134666158   139769240
49    1000   500   134848672   134846952   139698141
50    1000   500   134370368   134367432   139753790
51    1000   500   134624344   134622766   139610145
52    1000   500   134635875   134633528   139713613
53    1000   500   134510581   134509645   139597226
54    1000   500   134660726   134656470   139706573
55    1000   500   134607499   134605713   139729888
56    1000   500   134493738   134492074   139745980
57    1000   500   134687554   134685079   139579951
58    1000   500   134735387   134733634   139707002
59    1000   500   134695806   134692698   139780288
60    1000   500   134630349   134628590   139807811
61    1000   500   134505985   134504986   139850665
62    1000   500   134575446   134573894   139655745
63    1000   500   134629656   134626074   139671439
64    1000   500   134890704   134888504   139929121
65    1000   500   134696891   134693677   139423921
66    1000   500   134590812   134590112   139717885
67    1000   500   134571857   134570401   139693209
68    1000   500   134745428   134742286   139838159
69    1000   500   134590359   134589712   139736865
70    1000   500   134574978   134573316   139560926
71    1000   500   134596246   134592171   139692462
72    1000   500   134685977   134685637   139629983
73    1000   500   134529103   134527249   139578454
74    1000   500   134790879   134787267   139692748
75    1000   500   134698851   134694953   139917728
76    1000   500   134313003   134311172   139728663
77    1000   500   134652815   134647996   139851938
78    1000   500   134661326   134660408   139656655
79    1000   500   134384102   134383554   139725913
80    1000   500   134491124   134488710   139887719
81    1000   500   134889803   134887143   139607937
82    1000   500   134710559   134706506   139813334
83    1000   500   134650445   134647637   139654161
84    1000   500   134493134   134490949   139648598
85    1000   500   134662522   134660652   139737039
86    1000   500   134495548   134491883   139792662
87    1000   500   134539544   134538137   139640788
88    1000   500   135019866   135013946   139938155
89    1000   500   134546417   134543986   139806024
90    1000   500   134688917   134686220   139834520
91    1000   500   134681007   134679687   139817698
92    1000   500   134435175   134431423   139709186
93    1000   500   134797607   134795978   139785145
94    1000   500   134735496   134733883   139598225
95    1000   500   134483227   134481618   139704069
96    1000   500   134775518   134772375   139803031
97    1000   500   134624387   134622122   139603854
98    1000   500   134387126   134385718   139497001
99    1000   500   134510159   134509246   139717204
 
